StockCode,total_revenue,total_quantity_sold,Average Selling Price,revenue_generated_category,quantity_sold_category,average_selling_price_category,revenue_from_high_value_customers,quantitysold_to_high_value_customer
23007,2925.95,181,16.165469613259667,High Revenue,Medium Quantity,Very High 80-100% Range,1608.05,99.0
23008,2811.2,176,15.97272727272727,High Revenue,Medium Quantity,Very High 80-100% Range,1471.3999999999999,92.0
23009,1876.1,118,15.89915254237288,High Revenue,Medium Quantity,Very High 80-100% Range,1042.6999999999998,66.0
23010,1497.3999999999999,92,16.276086956521738,High Revenue,Low Qunatity,Very High 80-100% Range,950.05,59.0
23012,3396.7400000000002,912,3.7244956140350878,High Revenue,High Quantity,High 60-80% Range,1947.9900000000002,527.0
23013,2897.44,778,3.724215938303342,High Revenue,High Quantity,High 60-80% Range,1596.5900000000001,435.0
23014,2646.03,713,3.711122019635344,High Revenue,Medium Quantity,High 60-80% Range,1502.3300000000002,407.0
23015,255.75,31,8.25,Medium Revenue,Low Qunatity,Very High 80-100% Range,132.0,16.0
23016,512.85,69,7.432608695652174,Medium Revenue,Low Qunatity,Very High 80-100% Range,228.95,31.0
23017,513.2,43,11.934883720930234,Medium Revenue,Low Qunatity,Very High 80-100% Range,196.3,17.0
23018,403.4,34,11.86470588235294,Medium Revenue,Low Qunatity,Very High 80-100% Range,104.4,9.0
23019,453.70000000000005,58,7.822413793103449,Medium Revenue,Low Qunatity,Very High 80-100% Range,150.60000000000002,20.0
23020,1524.4,128,11.909375,High Revenue,Medium Quantity,Very High 80-100% Range,872.7,75.0
23021,380.5,94,4.047872340425532,Medium Revenue,Low Qunatity,High 60-80% Range,161.85000000000002,39.0
23022,745.76,392,1.9024489795918367,Medium Revenue,Medium Quantity,Medium 40-60% Range,315.36,165.0
23023,411.43999999999994,260,1.5824615384615381,Medium Revenue,Medium Quantity,Medium 40-60% Range,141.89,85.0
23024,506.0000000000001,200,2.5300000000000007,Medium Revenue,Medium Quantity,High 60-80% Range,375.9000000000001,150.0
23025,632.1700000000001,299,2.1142809364548496,Medium Revenue,Medium Quantity,Medium 40-60% Range,411.69,193.0
23026,931.69,462,2.016645021645022,Medium Revenue,Medium Quantity,Medium 40-60% Range,594.73,300.0
23027,547.0400000000001,263,2.0800000000000005,Medium Revenue,Medium Quantity,Medium 40-60% Range,316.16,152.0
23028,1313.34,790,1.6624556962025316,High Revenue,High Quantity,Medium 40-60% Range,1062.54,638.0
23029,1693.4999999999998,1038,1.63150289017341,High Revenue,High Quantity,Medium 40-60% Range,1287.6,792.0
23031,1640.6999999999998,1006,1.630914512922465,High Revenue,High Quantity,Medium 40-60% Range,1327.1999999999998,816.0
23032,2765.9999999999995,1688,1.6386255924170614,High Revenue,High Quantity,Medium 40-60% Range,2058.1499999999996,1259.0
23033,745.4499999999999,529,1.4091682419659735,Medium Revenue,Medium Quantity,Medium 40-60% Range,603.35,431.0
23034,1047.05,737,1.4206919945725915,Medium Revenue,Medium Quantity,Medium 40-60% Range,817.9499999999999,579.0
23035,2491.0899999999997,1765,1.411382436260623,High Revenue,High Quantity,Medium 40-60% Range,1786.3899999999999,1279.0
23036,228.75,183,1.25,Medium Revenue,Medium Quantity,Low 20-40% Range,46.25,37.0
23037,275.68999999999994,169,1.6313017751479286,Medium Revenue,Medium Quantity,Medium 40-60% Range,176.68999999999997,109.0
23038,38.029999999999994,41,0.9275609756097559,Low Revenue,Low Qunatity,Low 20-40% Range,8.149999999999999,5.0
23039,359.09999999999997,186,1.9306451612903224,Medium Revenue,Medium Quantity,Medium 40-60% Range,148.5,78.0
23040,638.25,111,5.75,Medium Revenue,Medium Quantity,Very High 80-100% Range,189.75,33.0
23041,1079.0,260,4.15,Medium Revenue,Medium Quantity,High 60-80% Range,498.00000000000006,120.0
23042,658.35,99,6.65,Medium Revenue,Low Qunatity,Very High 80-100% Range,252.70000000000002,38.0
23043,468.75,75,6.25,Medium Revenue,Low Qunatity,Very High 80-100% Range,187.5,30.0
23044,402.55,97,4.15,Medium Revenue,Low Qunatity,High 60-80% Range,157.70000000000002,38.0
23045,439.90000000000003,106,4.15,Medium Revenue,Low Qunatity,High 60-80% Range,195.05,47.0
23046,684.95,103,6.65,Medium Revenue,Low Qunatity,Very High 80-100% Range,372.4,56.0
23047,333.5,58,5.75,Medium Revenue,Low Qunatity,Very High 80-100% Range,115.0,20.0
23048,2152.69,537,4.008733705772812,High Revenue,Medium Quantity,High 60-80% Range,668.14,160.0
23049,2764.25,337,8.202522255192878,High Revenue,Medium Quantity,Very High 80-100% Range,2005.25,245.0
23050,2905.55,355,8.184647887323944,High Revenue,Medium Quantity,Very High 80-100% Range,1684.05,205.0
23051,2271.1,278,8.169424460431655,High Revenue,Medium Quantity,Very High 80-100% Range,1371.35,167.0
23052,3531.5,430,8.212790697674418,High Revenue,Medium Quantity,Very High 80-100% Range,2178.5,266.0
23053,1814.4,224,8.1,High Revenue,Medium Quantity,Very High 80-100% Range,997.15,123.0
23054,1513.2,184,8.22391304347826,High Revenue,Medium Quantity,Very High 80-100% Range,919.2,112.0
23055,990.5,506,1.9575098814229248,Medium Revenue,Medium Quantity,Medium 40-60% Range,740.5,466.0
23056,2493.44,812,3.0707389162561576,High Revenue,High Quantity,High 60-80% Range,2118.44,752.0
23057,1323.19,601,2.201647254575707,High Revenue,Medium Quantity,Medium 40-60% Range,1011.34,538.0
23058,387.84000000000003,444,0.8735135135135136,Medium Revenue,Medium Quantity,Low 20-40% Range,157.3,178.0
23060,482.56,232,2.08,Medium Revenue,Medium Quantity,Medium 40-60% Range,189.28,91.0
23061,1094.96,880,1.2442727272727274,Medium Revenue,High Quantity,Low 20-40% Range,493.71,399.0
23064,2933.2,204,14.378431372549018,High Revenue,Medium Quantity,Very High 80-100% Range,2483.65,195.0
23065,2230.1,181,12.320994475138122,High Revenue,Medium Quantity,Very High 80-100% Range,1230.1,101.0
23066,1366.8,168,8.135714285714286,High Revenue,Medium Quantity,Very High 80-100% Range,789.3,98.0
23067,1116.3500000000001,269,4.15,High Revenue,Medium Quantity,High 60-80% Range,485.55,117.0
23068,1847.5700000000002,769,2.4025617685305596,High Revenue,High Quantity,High 60-80% Range,1167.8000000000002,496.0
23069,531.25,85,6.25,Medium Revenue,Low Qunatity,Very High 80-100% Range,312.5,50.0
23070,593.45,143,4.15,Medium Revenue,Medium Quantity,High 60-80% Range,356.90000000000003,86.0
23071,588.0,240,2.45,Medium Revenue,Medium Quantity,High 60-80% Range,388.0,224.0
23072,724.5,273,2.6538461538461537,Medium Revenue,Medium Quantity,High 60-80% Range,524.5,257.0
23073,1531.5,129,11.872093023255815,High Revenue,Medium Quantity,Very High 80-100% Range,1181.5,101.0
23074,427.38,213,2.0064788732394367,Medium Revenue,Medium Quantity,Medium 40-60% Range,352.5,177.0
23075,1773.6000000000001,432,4.105555555555556,High Revenue,Medium Quantity,High 60-80% Range,1279.75,313.0
23076,7389.36,5976,1.2365060240963854,High Revenue,High Quantity,Low 20-40% Range,4091.86,3338.0
23077,9400.7,7702,1.2205531030901065,High Revenue,High Quantity,Low 20-40% Range,5408.95,4475.0
23078,6872.71,5603,1.2266125290023202,High Revenue,High Quantity,Low 20-40% Range,4319.36,3520.0
23079,1642.6,184,8.927173913043477,High Revenue,Medium Quantity,Very High 80-100% Range,1025.05,115.0
23080,7041.03,887,7.938027057497181,High Revenue,High Quantity,Very High 80-100% Range,5209.53,665.0
23081,2788.14,348,8.011896551724137,High Revenue,Medium Quantity,Very High 80-100% Range,2016.3899999999999,253.0
23082,7074.0,1960,3.6091836734693876,High Revenue,High Quantity,High 60-80% Range,4216.08,1192.0
23083,5605.03,1528,3.66821335078534,High Revenue,High Quantity,High 60-80% Range,3448.36,947.0
23084,22564.12,11765,1.9179022524436888,High Revenue,High Quantity,Medium 40-60% Range,16235.25,8455.0
23085,3323.3,358,9.28296089385475,High Revenue,Medium Quantity,Very High 80-100% Range,1892.3,208.0
23086,1141.78,986,1.1579918864097363,High Revenue,High Quantity,Low 20-40% Range,569.76,480.0
23087,827.42,670,1.234955223880597,Medium Revenue,Medium Quantity,Low 20-40% Range,454.92,372.0
23088,907.18,728,1.2461263736263735,Medium Revenue,Medium Quantity,Low 20-40% Range,497.18,400.0
23089,3404.5199999999995,2082,1.63521613832853,High Revenue,High Quantity,Medium 40-60% Range,2569.02,1612.0
23090,1673.82,2070,0.8086086956521739,High Revenue,High Quantity,Very Low 0-20% Range,940.93,1187.0
23091,3357.0,549,6.114754098360656,High Revenue,Medium Quantity,Very High 80-100% Range,1510.78,247.0
23092,3394.46,485,6.998886597938144,High Revenue,Medium Quantity,Very High 80-100% Range,2406.1600000000003,358.0
23093,1970.5400000000002,846,2.3292434988179673,High Revenue,High Quantity,High 60-80% Range,1362.98,602.0
23094,1587.5,127,12.5,High Revenue,Medium Quantity,Very High 80-100% Range,762.5,61.0
23096,1485.83,911,1.6309879253567507,High Revenue,High Quantity,Medium 40-60% Range,924.8299999999999,571.0
23099,805.7,124,6.497580645161291,Medium Revenue,Medium Quantity,Very High 80-100% Range,406.7,64.0
23100,2251.09,1817,1.238904788112273,High Revenue,High Quantity,Low 20-40% Range,1393.59,1131.0
23101,1271.7199999999998,1564,0.8131202046035805,High Revenue,High Quantity,Low 20-40% Range,807.3699999999999,995.0
23102,853.4699999999999,1041,0.8198559077809797,Medium Revenue,High Quantity,Low 20-40% Range,571.27,701.0
23103,6305.999999999999,3848,1.6387733887733886,High Revenue,High Quantity,Medium 40-60% Range,3390.4499999999994,2081.0
23104,1280.5,110,11.64090909090909,High Revenue,Medium Quantity,Very High 80-100% Range,793.2,69.0
23106,769.27,283,2.7182685512367493,Medium Revenue,Medium Quantity,High 60-80% Range,404.57000000000005,143.0
23107,867.24,316,2.7444303797468357,Medium Revenue,Medium Quantity,High 60-80% Range,436.09000000000003,161.0
23108,9304.57,1544,6.026275906735751,High Revenue,High Quantity,Very High 80-100% Range,7318.21,1216.0
23109,6025.39,2151,2.8012040911204092,High Revenue,High Quantity,High 60-80% Range,2943.42,1058.0
23110,2728.3,482,5.660373443983403,High Revenue,Medium Quantity,Very High 80-100% Range,1608.35,285.0
23111,2856.6,246,11.612195121951219,High Revenue,Medium Quantity,Very High 80-100% Range,2023.8,174.0
23112,2610.8,354,7.375141242937854,High Revenue,Medium Quantity,Very High 80-100% Range,1691.0,230.0
23113,5274.21,1047,5.037449856733525,High Revenue,High Quantity,Very High 80-100% Range,5180.16,1028.0
23114,321.75,65,4.95,Medium Revenue,Low Qunatity,Very High 80-100% Range,212.85000000000002,43.0
23115,416.70000000000005,90,4.630000000000001,Medium Revenue,Low Qunatity,Very High 80-100% Range,302.85,67.0
23116,292.95,65,4.506923076923076,Medium Revenue,Low Qunatity,Very High 80-100% Range,233.55,53.0
23117,351.45000000000005,71,4.950000000000001,Medium Revenue,Low Qunatity,Very High 80-100% Range,222.75000000000003,45.0
23118,4442.32,632,7.028987341772152,High Revenue,Medium Quantity,Very High 80-100% Range,3279.82,477.0
23119,1034.41,1724,0.6000058004640372,Medium Revenue,High Quantity,Very Low 0-20% Range,678.53,1150.0
23120,532.92,1310,0.4068091603053435,Medium Revenue,High Quantity,Very Low 0-20% Range,391.8,974.0
23121,711.9,1791,0.39748743718592966,Medium Revenue,High Quantity,Very Low 0-20% Range,485.09999999999997,1251.0
23122,1297.1499999999999,1745,0.7433524355300859,High Revenue,High Quantity,Very Low 0-20% Range,1061.43,1461.0
23123,562.56,708,0.7945762711864406,Medium Revenue,Medium Quantity,Very Low 0-20% Range,394.9,506.0
23124,393.9,342,1.1517543859649122,Medium Revenue,Medium Quantity,Low 20-40% Range,321.4,284.0
23125,413.25,381,1.0846456692913387,Medium Revenue,Medium Quantity,Low 20-40% Range,364.5,342.0
23126,4484.58,910,4.92810989010989,High Revenue,High Quantity,Very High 80-100% Range,2989.38,606.0
23127,3223.94,654,4.9295718654434255,High Revenue,Medium Quantity,Very High 80-100% Range,2080.19,421.0
23128,1775.2800000000002,360,4.931333333333334,High Revenue,Medium Quantity,Very High 80-100% Range,1225.8300000000002,249.0
23129,3164.9300000000003,743,4.259663526244953,High Revenue,Medium Quantity,Very High 80-100% Range,1596.23,365.0
23130,3255.6200000000003,790,4.121037974683545,High Revenue,High Quantity,High 60-80% Range,1919.3200000000002,468.0
23131,2327.98,574,4.055714285714286,High Revenue,Medium Quantity,High 60-80% Range,1317.98,326.0
23132,4941.18,998,4.951082164328658,High Revenue,High Quantity,Very High 80-100% Range,3904.33,811.0
23133,4858.21,721,6.738155339805825,High Revenue,Medium Quantity,Very High 80-100% Range,3539.41,553.0
23134,6397.98,1062,6.0244632768361575,High Revenue,High Quantity,Very High 80-100% Range,6135.33,1029.0
23135,5378.8,1538,3.4972691807542264,High Revenue,High Quantity,High 60-80% Range,5160.3,1500.0
23136,437.05,119,3.6726890756302524,Medium Revenue,Medium Quantity,High 60-80% Range,275.8,76.0
23137,243.24,72,3.3783333333333334,Medium Revenue,Low Qunatity,High 60-80% Range,169.49,49.0
23138,1156.9499999999998,839,1.3789630512514897,High Revenue,High Quantity,Medium 40-60% Range,877.1,646.0
23139,486.43,395,1.2314683544303797,Medium Revenue,Medium Quantity,Low 20-40% Range,442.94,346.0
23140,641.94,156,4.115,Medium Revenue,Medium Quantity,High 60-80% Range,467.64000000000004,114.0
23141,181.8,60,3.0300000000000002,Low Revenue,Low Qunatity,High 60-80% Range,143.66,50.0
23142,1054.45,108,9.763425925925926,Medium Revenue,Low Qunatity,Very High 80-100% Range,908.85,94.0
23143,146.4,24,6.1000000000000005,Low Revenue,Low Qunatity,Very High 80-100% Range,90.05000000000001,13.0
23144,3399.62,4258,0.7984077031470174,High Revenue,High Quantity,Very Low 0-20% Range,2207.5,2774.0
23145,1706.6999999999998,1814,0.9408489525909591,High Revenue,High Quantity,Low 20-40% Range,917.4099999999999,967.0
23146,2200.04,676,3.254497041420118,High Revenue,Medium Quantity,High 60-80% Range,1364.1100000000001,419.0
23147,2404.6,1660,1.4485542168674699,High Revenue,High Quantity,Medium 40-60% Range,1624.4999999999998,1122.0
23148,1595.4799999999998,1924,0.8292515592515591,High Revenue,High Quantity,Low 20-40% Range,1016.4899999999999,1227.0
23149,226.59000000000003,91,2.49,Medium Revenue,Low Qunatity,High 60-80% Range,146.91000000000003,59.0
23150,276.39000000000004,111,2.49,Medium Revenue,Medium Quantity,High 60-80% Range,196.71,79.0
23151,106.9,60,1.7816666666666667,Low Revenue,Low Qunatity,Medium 40-60% Range,41.300000000000004,20.0
23152,1934.76,524,3.692290076335878,High Revenue,Medium Quantity,High 60-80% Range,1278.51,349.0
23153,893.63,240,3.7234583333333333,Medium Revenue,Medium Quantity,High 60-80% Range,492.38,133.0
23154,3326.81,1621,2.052319555829735,High Revenue,High Quantity,Medium 40-60% Range,2303.4500000000003,1129.0
23155,1182.54,1482,0.7979352226720647,High Revenue,High Quantity,Very Low 0-20% Range,751.54,950.0
23156,2030.1000000000001,982,2.0673116089613037,High Revenue,High Quantity,Medium 40-60% Range,1587.06,769.0
23157,3000.67,1474,2.0357327001356853,High Revenue,High Quantity,Medium 40-60% Range,1962.75,975.0
23158,3158.12,1541,2.0493964957819597,High Revenue,High Quantity,Medium 40-60% Range,2742.12,1341.0
23159,2236.89,1097,2.0390975387420234,High Revenue,High Quantity,Medium 40-60% Range,1956.0900000000001,962.0
23160,1409.3,1198,1.1763772954924874,High Revenue,High Quantity,Low 20-40% Range,704.5,614.0
23161,1591.8,1344,1.184375,High Revenue,High Quantity,Low 20-40% Range,879.3000000000001,774.0
23162,3748.81,1061,3.5332799245994346,High Revenue,High Quantity,High 60-80% Range,2438.38,688.0
23163,2822.78,1214,2.325189456342669,High Revenue,High Quantity,High 60-80% Range,2143.01,941.0
23164,1634.21,344,4.750610465116279,High Revenue,Medium Quantity,Very High 80-100% Range,1203.56,257.0
23165,3634.6499999999996,2293,1.585106846925425,High Revenue,High Quantity,Medium 40-60% Range,2538.7499999999995,1623.0
23166,80291.44,76919,1.043844043734318,High Revenue,High Quantity,Low 20-40% Range,79434.18000000001,76209.0
23167,3613.1099999999997,4897,0.7378211149683479,High Revenue,High Quantity,Very Low 0-20% Range,2029.3899999999999,2745.0
23168,2918.23,2550,1.1444039215686275,High Revenue,High Quantity,Low 20-40% Range,2358.29,2096.0
23169,5036.75,1253,4.01975259377494,High Revenue,High Quantity,High 60-80% Range,2552.15,641.0
23170,7798.889999999999,5009,1.556975444200439,High Revenue,High Quantity,Medium 40-60% Range,6237.389999999999,4051.0
23171,7756.599999999999,5048,1.5365689381933438,High Revenue,High Quantity,Medium 40-60% Range,6391.45,4209.0
23172,4536.879999999999,2880,1.5753055555555553,High Revenue,High Quantity,Medium 40-60% Range,3554.8299999999995,2279.0
23173,18933.670000000002,2187,8.657370827617742,High Revenue,High Quantity,Very High 80-100% Range,16189.420000000002,1896.0
23174,9054.19,2323,3.8976280671545416,High Revenue,High Quantity,High 60-80% Range,7836.6900000000005,2025.0
23175,7261.75,2477,2.931671376665321,High Revenue,High Quantity,High 60-80% Range,6090.75,2105.0
23176,2688.46,1272,2.113569182389937,High Revenue,High Quantity,Medium 40-60% Range,1959.46,948.0
23177,3988.05,1917,2.080359937402191,High Revenue,High Quantity,Medium 40-60% Range,2993.55,1475.0
23178,458.14,168,2.7270238095238093,Medium Revenue,Medium Quantity,High 60-80% Range,185.62,72.0
23179,343.54,118,2.91135593220339,Medium Revenue,Medium Quantity,High 60-80% Range,167.25,57.0
23180,313.5,72,4.354166666666667,Medium Revenue,Low Qunatity,Very High 80-100% Range,222.75,53.0
23181,1271.25,157,8.097133757961783,High Revenue,Medium Quantity,Very High 80-100% Range,848.25,105.0
23182,2753.74,3313,0.8311922728644732,High Revenue,High Quantity,Low 20-40% Range,2001.7599999999998,2407.0
23183,521.96,133,3.924511278195489,Medium Revenue,Medium Quantity,High 60-80% Range,311.96,77.0
23184,2999.3500000000004,609,4.92504105090312,High Revenue,Medium Quantity,Very High 80-100% Range,1988.65,399.0
23185,113.10999999999999,311,0.36369774919614145,Low Revenue,Medium Quantity,Very Low 0-20% Range,71.35,167.0
23186,390.88999999999993,1249,0.3129623698959167,Medium Revenue,High Quantity,Very Low 0-20% Range,168.49999999999997,502.0
23187,573.92,1960,0.29281632653061224,Medium Revenue,High Quantity,Very Low 0-20% Range,273.52,944.0
23188,4915.36,2984,1.6472386058981232,High Revenue,High Quantity,Medium 40-60% Range,2820.6099999999997,1697.0
23189,2337.38,842,2.7759857482185275,High Revenue,High Quantity,High 60-80% Range,1765.16,644.0
23190,1900.9399999999998,1170,1.6247350427350427,High Revenue,High Quantity,Medium 40-60% Range,1275.59,791.0
23191,2869.9999999999995,1776,1.6159909909909906,High Revenue,High Quantity,Medium 40-60% Range,2127.4999999999995,1326.0
23192,3556.4699999999993,2199,1.6173124147339697,High Revenue,High Quantity,Medium 40-60% Range,2429.5199999999995,1516.0
23193,2866.32,1406,2.038634423897582,High Revenue,High Quantity,Medium 40-60% Range,2438.4,1214.0
23194,2645.12,1271,2.0811329661683713,High Revenue,High Quantity,Medium 40-60% Range,1791.5,877.0
23196,1913.3,1346,1.4214710252600298,High Revenue,High Quantity,Medium 40-60% Range,1255.0,892.0
23197,1358.59,939,1.4468477103301383,High Revenue,High Quantity,Medium 40-60% Range,949.14,650.0
23198,2918.14,2022,1.4431948565776458,High Revenue,High Quantity,Medium 40-60% Range,1808.79,1247.0
23199,22466.08,11831,1.8989164060518977,High Revenue,High Quantity,Medium 40-60% Range,19578.920000000002,10424.0
23200,11380.960000000001,5892,1.9315953835709438,High Revenue,High Quantity,Medium 40-60% Range,9389.5,4920.0
23201,21751.7,11270,1.930053238686779,High Revenue,High Quantity,Medium 40-60% Range,17534.8,9175.0
23202,19229.61,9867,1.948881118881119,High Revenue,High Quantity,Medium 40-60% Range,15861.99,8203.0
23203,32859.8,16980,1.935206124852768,High Revenue,High Quantity,Medium 40-60% Range,27366.56,14277.0
23204,3645.8,4488,0.8123440285204991,High Revenue,High Quantity,Low 20-40% Range,2706.45,3337.0
23205,2806.32,3408,0.8234507042253522,High Revenue,High Quantity,Low 20-40% Range,2085.52,2560.0
23206,14422.75,9095,1.5857888949972512,High Revenue,High Quantity,Medium 40-60% Range,11426.75,7255.0
23207,9935.36,6176,1.6087046632124353,High Revenue,High Quantity,Medium 40-60% Range,7666.81,4789.0
23208,8993.55,5599,1.6062779067690658,High Revenue,High Quantity,Medium 40-60% Range,7482.15,4683.0
23209,16825.51,10427,1.6136482209648029,High Revenue,High Quantity,Medium 40-60% Range,13533.96,8420.0
23210,2369.72,1924,1.2316632016632016,High Revenue,High Quantity,Low 20-40% Range,1350.97,1109.0
23211,1866.98,1546,1.2076196636481242,High Revenue,High Quantity,Low 20-40% Range,975.97,809.0
23212,1805.85,1485,1.216060606060606,High Revenue,High Quantity,Low 20-40% Range,1100.85,921.0
23213,1266.17,1021,1.2401273261508325,High Revenue,High Quantity,Low 20-40% Range,566.17,461.0
23214,1450.1100000000001,688,2.107718023255814,High Revenue,Medium Quantity,Medium 40-60% Range,982.11,463.0
23215,6762.360000000001,3451,1.9595363662706464,High Revenue,High Quantity,Medium 40-60% Range,4534.96,2345.0
23216,583.51,494,1.1811943319838056,Medium Revenue,Medium Quantity,Low 20-40% Range,399.76,347.0
23217,1567.0,1290,1.2147286821705425,High Revenue,High Quantity,Low 20-40% Range,1037.0,866.0
23218,390.81,312,1.2525961538461539,Medium Revenue,Medium Quantity,Low 20-40% Range,199.56,159.0
23219,488.35,391,1.2489769820971868,Medium Revenue,Medium Quantity,Low 20-40% Range,288.35,231.0
23220,705.54,846,0.8339716312056737,Medium Revenue,High Quantity,Low 20-40% Range,433.29999999999995,518.0
23221,1141.1599999999999,1340,0.8516119402985074,High Revenue,High Quantity,Low 20-40% Range,696.28,804.0
23222,547.12,584,0.9368493150684931,Medium Revenue,Medium Quantity,Low 20-40% Range,288.98999999999995,273.0
23223,661.81,735,0.9004217687074829,Medium Revenue,Medium Quantity,Low 20-40% Range,341.42999999999995,349.0
23224,486.05999999999995,538,0.9034572490706319,Medium Revenue,Medium Quantity,Low 20-40% Range,280.21999999999997,290.0
23225,897.1099999999999,1045,0.8584784688995214,Medium Revenue,High Quantity,Low 20-40% Range,668.8599999999999,770.0
23226,1298.59,1055,1.2308909952606635,High Revenue,High Quantity,Low 20-40% Range,956.09,781.0
23227,1882.06,1540,1.2221168831168832,High Revenue,High Quantity,Low 20-40% Range,1423.31,1173.0
23228,1636.3,1325,1.2349433962264151,High Revenue,High Quantity,Low 20-40% Range,1097.55,894.0
23229,4484.32,1279,3.5061141516810004,High Revenue,High Quantity,High 60-80% Range,3108.07,912.0
23230,2488.0,6000,0.4146666666666667,High Revenue,High Quantity,Very Low 0-20% Range,1627.0,3950.0
23231,2262.5,5425,0.41705069124423966,High Revenue,High Quantity,Very Low 0-20% Range,1506.5,3625.0
23232,2980.5,7325,0.40689419795221843,High Revenue,High Quantity,Very Low 0-20% Range,1717.0,4250.0
23233,1869.5,4575,0.40863387978142074,High Revenue,High Quantity,Very Low 0-20% Range,1213.5,2975.0
23234,3561.26,1244,2.8627491961414795,High Revenue,High Quantity,High 60-80% Range,2075.75,725.0
23235,1177.1000000000001,458,2.570087336244542,High Revenue,Medium Quantity,High 60-80% Range,863.1700000000001,321.0
23236,3316.16,1164,2.84893470790378,High Revenue,High Quantity,High 60-80% Range,2365.35,835.0
23237,2552.75,621,4.110708534621578,High Revenue,Medium Quantity,High 60-80% Range,1997.0500000000002,487.0
23238,4647.450000000001,1143,4.066010498687665,High Revenue,High Quantity,High 60-80% Range,3518.65,871.0
23239,2223.15,573,3.879842931937173,High Revenue,Medium Quantity,High 60-80% Range,1610.0000000000002,412.0
23240,9778.900000000001,2398,4.077939949958299,High Revenue,High Quantity,High 60-80% Range,6927.85,1711.0
23241,2555.04,1239,2.062179176755448,High Revenue,High Quantity,Medium 40-60% Range,1562.88,762.0
23242,1809.76,886,2.0426185101580137,High Revenue,High Quantity,Medium 40-60% Range,1171.2,579.0
23243,18809.53,3941,4.772781020045674,High Revenue,High Quantity,Very High 80-100% Range,16655.08,3498.0
23244,988.06,534,1.8502996254681647,Medium Revenue,Medium Quantity,Medium 40-60% Range,857.41,467.0
23245,18159.18,3962,4.583336698637052,High Revenue,High Quantity,Very High 80-100% Range,13992.980000000001,3110.0
23247,4454.24,1596,2.790877192982456,High Revenue,High Quantity,High 60-80% Range,2688.2000000000003,960.0
23249,1116.3,694,1.60850144092219,High Revenue,Medium Quantity,Medium 40-60% Range,713.6999999999999,450.0
23250,1073.59,875,1.2269599999999998,Medium Revenue,High Quantity,Low 20-40% Range,642.34,530.0
23251,1761.7,1490,1.1823489932885907,High Revenue,High Quantity,Low 20-40% Range,942.1800000000001,786.0
23252,1890.8400000000001,516,3.664418604651163,High Revenue,Medium Quantity,High 60-80% Range,1005.4200000000001,274.0
23253,1767.3999999999999,116,15.236206896551723,High Revenue,Medium Quantity,Very High 80-100% Range,985.8499999999999,67.0
23254,2963.1000000000004,714,4.15,High Revenue,Medium Quantity,High 60-80% Range,1867.5000000000002,450.0
23255,1157.8400000000001,278,4.164892086330936,High Revenue,Medium Quantity,High 60-80% Range,838.2900000000001,201.0
23256,3785.03,917,4.127622682660851,High Revenue,High Quantity,High 60-80% Range,2448.73,595.0
23263,4447.99,3426,1.2983041447752481,High Revenue,High Quantity,Medium 40-60% Range,2516.9,1865.0
23264,2022.95,1543,1.311049902786779,High Revenue,High Quantity,Medium 40-60% Range,1205.45,889.0
23265,1966.21,1515,1.297828382838284,High Revenue,High Quantity,Medium 40-60% Range,1047.46,780.0
23266,2147.14,1658,1.2950180940892642,High Revenue,High Quantity,Medium 40-60% Range,1183.39,887.0
23267,1082.34,882,1.227142857142857,Medium Revenue,High Quantity,Low 20-40% Range,607.34,502.0
23268,990.4799999999999,672,1.4739285714285713,Medium Revenue,Medium Quantity,Medium 40-60% Range,447.08,284.0
23269,901.55,635,1.419763779527559,Medium Revenue,Medium Quantity,Medium 40-60% Range,252.29999999999998,174.0
23270,1144.1,794,1.440931989924433,High Revenue,High Quantity,Medium 40-60% Range,569.9,398.0
23271,1117.62,1382,0.808697539797395,High Revenue,High Quantity,Very Low 0-20% Range,566.5,718.0
23272,478.18999999999994,325,1.471353846153846,Medium Revenue,Medium Quantity,Medium 40-60% Range,315.85999999999996,206.0
23273,1302.84,788,1.6533502538071065,High Revenue,High Quantity,Medium 40-60% Range,667.5899999999999,403.0
23274,1743.0599999999997,1062,1.6412994350282484,High Revenue,High Quantity,Medium 40-60% Range,810.81,497.0
23275,3628.06,3018,1.2021404903909874,High Revenue,High Quantity,Low 20-40% Range,2848.06,2394.0
23280,792.8599999999999,972,0.8156995884773661,Medium Revenue,High Quantity,Low 20-40% Range,458.37,569.0
23281,341.32,416,0.8204807692307692,Medium Revenue,Medium Quantity,Low 20-40% Range,243.37999999999997,298.0
23282,531.38,655,0.811267175572519,Medium Revenue,Medium Quantity,Low 20-40% Range,364.55,454.0
23283,6158.22,908,6.782180616740089,High Revenue,High Quantity,Very High 80-100% Range,4779.87,731.0
23284,34885.3,5205,6.702267050912584,High Revenue,High Quantity,Very High 80-100% Range,28702.239999999998,4398.0
23285,3843.42,3998,0.961335667833917,High Revenue,High Quantity,Low 20-40% Range,3698.07,3827.0
23286,3946.0800000000004,4172,0.9458485139022053,High Revenue,High Quantity,Low 20-40% Range,3726.78,3914.0
23287,842.89,1021,0.8255533790401567,Medium Revenue,High Quantity,Low 20-40% Range,638.89,781.0
23288,3837.2,3976,0.9650905432595573,High Revenue,High Quantity,Low 20-40% Range,3645.1,3750.0
23289,781.25,625,1.25,Medium Revenue,Medium Quantity,Low 20-40% Range,602.5,482.0
